wl_micron nw
2.49945 1.266384
2.49885 1.266489
2.49825 1.266593
2.49765 1.266699
2.49705 1.266802
2.49644 1.266907
2.49584 1.267008
2.49524 1.267112
2.49464 1.267213
2.49404 1.267317
2.49284 1.267521
2.49224 1.267621
2.49164 1.267723
2.49105 1.267822
2.49045 1.267924
2.48985 1.268022
2.48925 1.268123
2.48865 1.268221
2.48806 1.268321
2.48746 1.268417
2.48627 1.268613
2.48567 1.268712
2.48508 1.268807
2.48448 1.268906
2.48388 1.269002
2.48329 1.269102
2.48269 1.269198
2.4821 1.269297
2.48151 1.269393
2.48091 1.26949
2.47973 1.269682
2.47913 1.269774
2.47854 1.26987
2.47795 1.269965
2.47736 1.270061
2.47676 1.270155
2.47617 1.270251
2.47558 1.270343
2.4744 1.270532
2.47322 1.270716
2.47263 1.270809
2.47204 1.270901
2.47145 1.270996
2.47086 1.271087
2.47027 1.27118
2.46968 1.27127
2.4691 1.271363
2.46792 1.271547
2.46733 1.271637
2.46675 1.27173
2.46616 1.27182
2.46557 1.271913
2.46499 1.272002
2.4644 1.272093
2.46381 1.272182
2.46323 1.272272
2.46264 1.272359
2.46147 1.272535
2.46089 1.272625
2.46031 1.272712
2.45972 1.272801
2.45914 1.272888
2.45856 1.272977
2.45797 1.273063
2.45739 1.273153
2.45681 1.27324
2.45623 1.273329
2.45506 1.273503
2.45448 1.273589
2.4539 1.273676
2.45332 1.27376
2.45274 1.273847
2.45216 1.273931
2.45158 1.274017
2.451 1.274101
2.45042 1.274186
2.44984 1.274267
2.44869 1.274433
2.44811 1.274517
2.44753 1.274598
2.44695 1.274683
2.44637 1.274765
2.4458 1.274849
2.44522 1.274931
2.44464 1.275016
2.44407 1.275098
2.44349 1.275182
2.44234 1.275345
2.44176 1.275424
2.44119 1.275505
2.44061 1.275584
2.44004 1.275665
2.43947 1.275742
2.43889 1.275824
2.43832 1.275903
2.43717 1.276063
2.4366 1.276145
2.43603 1.276224
2.43545 1.276305
2.43488 1.276382
2.43431 1.276462
2.43374 1.276537
2.43317 1.276614
2.4326 1.276689
2.43203 1.276766
2.43089 1.276919
2.43032 1.276996
2.42975 1.277075
2.42918 1.27715
2.42861 1.277227
2.42804 1.2773
2.42747 1.277376
2.4269 1.27745
2.42634 1.277528
2.42577 1.277604
2.42463 1.277758
2.42407 1.277834
2.4235 1.277909
2.42293 1.277987
2.42237 1.278063
2.4218 1.278141
2.42124 1.278215
2.42067 1.278292
2.42011 1.278365
2.41954 1.278441
2.41841 1.278588
2.41785 1.278659
2.41728 1.278733
2.41672 1.278805
2.41616 1.278879
2.41559 1.27895
2.41503 1.279024
2.41447 1.279093
2.41391 1.279164
2.41335 1.279233
2.41222 1.279373
2.41166 1.279445
2.4111 1.279514
2.41054 1.279586
2.40998 1.279654
2.40942 1.279726
2.40886 1.279796
2.4083 1.279868
2.40774 1.279935
2.40718 1.280004
2.40606 1.28014
2.40551 1.280208
2.40495 1.280278
2.40439 1.280346
2.40383 1.280416
2.40328 1.280483
2.40272 1.280553
2.40216 1.28062
2.40105 1.280758
2.40049 1.280828
2.39994 1.280894
2.39938 1.280962
2.39883 1.281029
2.39827 1.281098
2.39772 1.281164
2.39716 1.281231
2.39661 1.281295
2.39606 1.28136
2.39495 1.281491
2.3944 1.281556
2.39384 1.281622
2.39329 1.281687
2.39274 1.281753
2.39219 1.281816
2.39163 1.281882
2.39108 1.281945
2.39053 1.28201
2.38998 1.282074
2.38888 1.2822
2.38833 1.282263
2.38778 1.282325
2.38723 1.282388
2.38668 1.282448
2.38613 1.282511
2.38558 1.282572
2.38503 1.282637
2.38448 1.282699
2.38394 1.282763
2.38284 1.282887
2.38229 1.282949
2.38174 1.283012
2.3812 1.283073
2.38065 1.283136
2.3801 1.283197
2.37956 1.28326
2.37901 1.28332
2.37847 1.283382
2.37792 1.283443
2.37683 1.283567
2.37629 1.283629
2.37574 1.283688
2.3752 1.283749
2.37465 1.283807
2.37411 1.283869
2.37356 1.283928
2.37302 1.283989
2.37248 1.284048
2.37194 1.28411
2.37085 1.284229
2.37031 1.284286
2.36977 1.284346
2.36923 1.284403
2.36868 1.284464
2.36814 1.284521
2.3676 1.284579
2.36706 1.284635
2.36598 1.28475
2.36544 1.284808
2.3649 1.284864
2.36436 1.284924
2.36382 1.284982
2.36329 1.285041
2.36275 1.285096
2.36221 1.285154
2.36167 1.285209
2.36113 1.285267
2.36006 1.285379
2.35952 1.285432
2.35898 1.285489
2.35845 1.285543
2.35791 1.2856
2.35737 1.285655
2.35684 1.285712
2.3563 1.285767
2.35577 1.285824
2.35523 1.285878
2.35416 1.285989
2.35363 1.286045
2.35309 1.286098
2.35256 1.286154
2.35203 1.286207
2.35149 1.286263
2.35096 1.286316
2.35043 1.286373
2.34989 1.286427
2.34936 1.286482
2.3483 1.286591
2.34777 1.286644
2.34723 1.2867
2.3467 1.286751
2.34617 1.286804
2.34564 1.286856
2.34511 1.286911
2.34458 1.286964
2.34405 1.287018
2.34352 1.287071
2.34246 1.287178
2.34193 1.287232
2.3414 1.287283
2.34087 1.287336
2.34035 1.287387
2.33982 1.287441
2.33929 1.287491
2.33876 1.287543
2.33823 1.287593
2.33771 1.287646
2.33665 1.28775
2.33613 1.2878
2.3356 1.287851
2.33507 1.287901
2.33455 1.287953
2.33402 1.288002
2.3335 1.288053
2.33297 1.288102
2.33192 1.288201
2.3314 1.288252
2.33088 1.288302
2.33035 1.288353
2.32983 1.288404
2.3293 1.288457
2.32878 1.288506
2.32826 1.288557
2.32774 1.288606
2.32721 1.288655
2.32617 1.288752
2.32565 1.2888
2.32513 1.28885
2.3246 1.2889
2.32408 1.288951
2.32356 1.288999
2.32304 1.289049
2.32252 1.289097
2.322 1.289148
2.32148 1.289195
2.32044 1.289289
2.31992 1.289337
2.3194 1.289384
2.31888 1.289433
2.31837 1.289479
2.31785 1.289528
2.31733 1.289576
2.31681 1.289625
2.31629 1.289671
2.31578 1.28972
2.31474 1.289816
2.31423 1.289864
2.31371 1.289915
2.31319 1.289963
2.31268 1.290012
2.31216 1.290059
2.31165 1.290109
2.31113 1.290157
2.31062 1.290206
2.3101 1.290251
2.30907 1.290345
2.30856 1.290391
2.30804 1.290435
2.30753 1.29048
2.30702 1.290525
2.3065 1.290571
2.30599 1.290616
2.30548 1.290664
2.30496 1.290708
2.30445 1.290754
2.30343 1.290844
2.30292 1.290886
2.30241 1.290931
2.30189 1.290974
2.30138 1.29102
2.30087 1.291064
2.30036 1.291108
2.29985 1.291151
2.29883 1.291241
2.29832 1.291286
2.29781 1.29133
2.11586 1.303746
2.11543 1.303772
2.115 1.303796
2.11457 1.303819
2.11371 1.303865
2.11328 1.303886
2.11285 1.30391
2.11242 1.303933
2.11198 1.303957
2.11155 1.303981
2.11112 1.304008
2.11069 1.304031
2.11027 1.304055
2.10984 1.30408
2.10898 1.304128
2.10855 1.304152
2.10812 1.304176
2.10769 1.3042
2.10726 1.304223
2.10683 1.304247
2.10641 1.304268
2.10598 1.30429
2.10555 1.304313
2.10512 1.304338
2.10427 1.304386
2.10384 1.304406
2.10342 1.304428
2.10299 1.304449
2.10256 1.304473
2.10214 1.304495
2.10171 1.304518
2.10128 1.304539
2.10086 1.304561
2.10043 1.304582
2.09958 1.304628
2.09916 1.304651
2.09873 1.304672
2.09831 1.304696
2.09788 1.304716
2.09746 1.304735
2.09703 1.304754
2.09661 1.304775
2.09576 1.304813
2.09534 1.304831
2.09491 1.304852
2.09449 1.304872
2.09407 1.304893
2.09365 1.304912
2.09322 1.304931
2.0928 1.304949
2.09238 1.304968
2.09196 1.304986
2.09111 1.305024
2.09069 1.305043
2.09027 1.30506
2.08985 1.30508
2.08943 1.3051
2.08901 1.305122
2.08858 1.305142
2.08816 1.305161
2.08774 1.305181
2.08732 1.305203
2.08648 1.305248
2.08606 1.305271
2.08564 1.305294
2.08522 1.305315
2.0848 1.305338
2.08439 1.305359
2.08397 1.305381
2.08355 1.305403
2.08313 1.305426
2.08271 1.305447
2.08187 1.305489
2.08146 1.305511
2.08104 1.305531
2.08062 1.305553
2.0802 1.305575
2.07979 1.3056
2.07937 1.305623
2.07895 1.305646
2.07853 1.305668
2.07812 1.305692
2.07729 1.305737
2.07687 1.305756
2.07645 1.305776
2.07604 1.305794
2.07562 1.305814
2.07521 1.305831
2.07479 1.305849
2.07438 1.305865
2.07396 1.305883
2.07355 1.305898
2.07272 1.305931
2.0723 1.305947
2.07189 1.305963
2.07148 1.305982
2.07106 1.306002
2.07065 1.30602
2.07023 1.306035
2.06982 1.306053
2.06899 1.306084
2.06858 1.306099
2.06817 1.306117
2.06776 1.306133
2.06734 1.306151
2.06693 1.306168
2.06652 1.306186
2.06611 1.306203
2.0657 1.306223
2.06529 1.306243
2.06446 1.306286
2.06405 1.306308
2.06364 1.306329
2.06323 1.306351
2.06282 1.306372
2.06241 1.306392
2.062 1.306411
2.06159 1.30643
2.06118 1.306449
2.06077 1.306471
2.05995 1.306513
2.05954 1.306534
2.05913 1.306556
2.05872 1.306574
2.05831 1.306593
2.05791 1.306613
2.0575 1.306637
2.05709 1.306658
